sobel: 2.5854s
canny: 1.2202s
kovalevsky: 0.6315s
         794736 function calls (772285 primitive calls) in 4.499 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    475/1    0.010    0.000    4.502    4.502 {built-in method builtins.exec}
        1    0.024    0.024    4.502    4.502 test_perf_edges.py:1(<module>)
       30    0.042    0.001    4.413    0.147 image_filters.py:168(edge_detection)
       57    0.005    0.000    3.962    0.070 __init__.py:1(<module>)
   569/28    0.011    0.000    1.784    0.064 <frozen importlib._bootstrap>:1349(_find_and_load)
   548/10    0.008    0.000    1.783    0.178 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   532/11    0.006    0.000    1.781    0.162 <frozen importlib._bootstrap>:911(_load_unlocked)
   465/11    0.004    0.000    1.780    0.162 <frozen importlib._bootstrap_external>:993(exec_module)
  1279/19    0.004    0.000    1.779    0.094 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        2    0.003    0.001    1.578    0.789 _support_alternative_backends.py:1(<module>)
    23/22    0.000    0.000    1.563    0.071 __init__.py:73(__getattr__)
   118/22    0.001    0.000    1.563    0.071 __init__.py:73(import_module)
   118/22    0.000    0.000    1.563    0.071 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    1.557    1.557 edges.py:1(<module>)
  481/115    0.002    0.000    1.555    0.014 <frozen importlib._bootstrap>:1390(_handle_fromlist)
7979/5220    0.005    0.000    1.343    0.000 {built-in method builtins.hasattr}
      2/1    0.000    0.000    1.335    1.335 __init__.py:129(__getattr__)
       10    0.112    0.011    1.166    0.117 _canny.py:103(canny)
   454/46    0.002    0.000    0.980    0.021 {built-in method builtins.__import__}
       80    0.002    0.000    0.864    0.011 _filters.py:555(correlate1d)
       80    0.860    0.011    0.860    0.011 {built-in method scipy.ndimage._nd_image.correlate1d}
       10    0.001    0.000    0.742    0.074 edges.py:200(sobel)
       10    0.222    0.022    0.741    0.074 edges.py:126(_generic_edge_filter)
        1    0.000    0.000    0.722    0.722 _array_api.py:1(<module>)
      210    0.008    0.000    0.646    0.003 _array_api.py:840(decorator)
        3    0.001    0.000    0.628    0.209 _internal.py:56(clone_module)
       12    0.000    0.000    0.625    0.052 __init__.py:326(__getattr__)
       10    0.024    0.002    0.614    0.061 _canny.py:17(_preprocess)
       20    0.090    0.004    0.593    0.030 image_filters.py:134(_kovalevsky_scan)
       20    0.001    0.000    0.576    0.029 filters.py:19(gaussian)
      210    0.002    0.000    0.553    0.003 _docscrape.py:579(__init__)
       20    0.001    0.000    0.538    0.027 _filters.py:756(gaussian_filter)
       40    0.001    0.000    0.534    0.013 _filters.py:687(gaussian_filter1d)
      210    0.005    0.000    0.477    0.002 _docscrape.py:140(__init__)
       80    0.001    0.000    0.468    0.006 {method 'sum' of 'numpy.ndarray' objects}
      110    0.467    0.004    0.467    0.004 {method 'reduce' of 'numpy.ufunc' objects}
       80    0.000    0.000    0.467    0.006 _methods.py:50(_sum)
       20    0.000    0.000    0.458    0.023 _filters.py:1379(convolve)
       20    0.001    0.000    0.458    0.023 _filters.py:1250(_correlate_or_convolve)
       20    0.450    0.023    0.450    0.023 {built-in method scipy.ndimage._nd_image.correlate}
        1    0.000    0.000    0.408    0.408 f2py2e.py:1(<module>)
      210    0.021    0.000    0.370    0.002 _docscrape.py:388(_parse)
       20    0.001    0.000    0.362    0.018 _filters.py:925(sobel)
        1    0.002    0.002    0.357    0.357 crackfortran.py:1(<module>)
        1    0.000    0.000    0.330    0.330 _ndimage_api.py:1(<module>)
        1    0.000    0.000    0.299    0.299 _interpolation.py:1(<module>)
       91    0.002    0.000    0.239    0.003 _support_alternative_backends.py:86(wrapper)
      465    0.012    0.000    0.215    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.001    0.001    0.198    0.198 api.py:1(<module>)
     2185    0.010    0.000    0.190    0.000 __init__.py:280(_compile)
        4    0.002    0.001    0.186    0.046 utils.py:1(<module>)
      484    0.001    0.000    0.180    0.000 __init__.py:226(compile)
       98    0.001    0.000    0.177    0.002 utils.py:265(is_multi_byte_encoding)
      115    0.002    0.000    0.170    0.001 _compiler.py:745(compile)
        1    0.000    0.000    0.170    0.170 uft.py:1(<module>)
     1206    0.008    0.000    0.136    0.000 _docscrape.py:212(_read_sections)
1111/1104    0.053    0.000    0.135    0.000 {built-in method builtins.__build_class__}
