color_balance: 0.0430s
rotate_hue: 0.8201s
invert_colors: 0.0362s
posterize: 0.0348s
         76656 function calls (75748 primitive calls) in 1.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     35/1    0.000    0.000    1.000    1.000 {built-in method builtins.exec}
        1    0.005    0.005    1.000    1.000 test_perf.py:1(<module>)
       10    0.000    0.000    0.815    0.082 image_filters.py:477(rotate_hue)
       30    0.001    0.000    0.740    0.025 Image.py:915(convert)
       30    0.739    0.025    0.739    0.025 {method 'convert' of 'ImagingCore' objects}
       40    0.007    0.000    0.164    0.004 Image.py:1886(point)
       40    0.145    0.004    0.145    0.004 {method 'point' of 'ImagingCore' objects}
     47/3    0.000    0.000    0.061    0.020 <frozen importlib._bootstrap>:1349(_find_and_load)
     47/3    0.000    0.000    0.061    0.020 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     46/4    0.000    0.000    0.060    0.015 <frozen importlib._bootstrap>:911(_load_unlocked)
    119/6    0.000    0.000    0.060    0.010 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     34/4    0.000    0.000    0.060    0.015 <frozen importlib._bootstrap_external>:993(exec_module)
     16/5    0.000    0.000    0.059    0.012 {built-in method builtins.__import__}
     12/3    0.000    0.000    0.059    0.020 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.050    0.050 Image.py:1(<module>)
       10    0.000    0.000    0.043    0.004 image_filters.py:416(apply_color_balance)
       10    0.000    0.000    0.036    0.004 image_filters.py:97(invert_colors)
       10    0.000    0.000    0.035    0.003 image_filters.py:527(apply_posterize)
      116    0.002    0.000    0.026    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.016    0.016 ExifTags.py:1(<module>)
       10    0.000    0.000    0.014    0.001 Image.py:1946(putalpha)
       34    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.000    0.000    0.011    0.011 tempfile.py:1(<module>)
       11    0.001    0.000    0.011    0.001 enum.py:528(__new__)
  609/249    0.002    0.000    0.011    0.000 {built-in method __new__ of type object at 0x7f3513990600}
    39168    0.010    0.000    0.010    0.000 {built-in method builtins.round}
        3    0.000    0.000    0.010    0.003 __init__.py:1(<module>)
       34    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
      360    0.005    0.000    0.009    0.000 enum.py:254(__set_name__)
       10    0.000    0.000    0.008    0.001 Image.py:2675(getchannel)
       10    0.007    0.001    0.007    0.001 {method 'getband' of 'ImagingCore' objects}
       10    0.007    0.001    0.007    0.001 {method 'putband' of 'ImagingCore' objects}
       34    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.007    0.007 image_filters.py:1(<module>)
       47    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       10    0.006    0.001    0.006    0.001 {method 'setmode' of 'ImagingCore' objects}
       45    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
       45    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
       46    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      393    0.002    0.000    0.005    0.000 enum.py:390(__setitem__)
      114    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        1    0.000    0.000    0.004    0.004 Image.py:3072(new)
        4    0.000    0.000    0.004    0.001 __init__.py:226(compile)
